model_type,anchor_id,alpha_s,alpha_a,t_start,n_rollouts,success_rate
baseline,none,0.0,0.0,N/A,30,1.0
action_denoiser_A0,A0,0.0,0.0,5,30,1.0
action_denoiser_A0,A0,0.0,0.0,10,30,0.9666666666666667
joint_denoiser_A0,A0,0.0,0.0,5,30,0.9
joint_denoiser_A0,A0,0.0,0.0,10,30,0.43333333333333335
baseline,none,0.0,0.3,N/A,30,0.3
action_denoiser_A0,A0,0.0,0.3,5,30,0.9
action_denoiser_A0,A0,0.0,0.3,10,30,0.8333333333333334
joint_denoiser_A0,A0,0.0,0.3,5,30,0.6666666666666666
joint_denoiser_A0,A0,0.0,0.3,10,30,0.43333333333333335
baseline,none,0.02,0.0,N/A,30,0.5
action_denoiser_A0,A0,0.02,0.0,5,30,0.4666666666666667
action_denoiser_A0,A0,0.02,0.0,10,30,0.4666666666666667
joint_denoiser_A0,A0,0.02,0.0,5,30,0.43333333333333335
joint_denoiser_A0,A0,0.02,0.0,10,30,0.26666666666666666
baseline,none,0.02,0.3,N/A,30,0.06666666666666667
action_denoiser_A0,A0,0.02,0.3,5,30,0.3
action_denoiser_A0,A0,0.02,0.3,10,30,0.36666666666666664
joint_denoiser_A0,A0,0.02,0.3,5,30,0.3
joint_denoiser_A0,A0,0.02,0.3,10,30,0.26666666666666666
baseline,none,0.05,0.0,N/A,30,0.03333333333333333
action_denoiser_A0,A0,0.05,0.0,5,30,0.03333333333333333
action_denoiser_A0,A0,0.05,0.0,10,30,0.03333333333333333
joint_denoiser_A0,A0,0.05,0.0,5,30,0.2
joint_denoiser_A0,A0,0.05,0.0,10,30,0.16666666666666666
baseline,none,0.05,0.3,N/A,30,0.0
action_denoiser_A0,A0,0.05,0.3,5,30,0.03333333333333333
action_denoiser_A0,A0,0.05,0.3,10,30,0.1
joint_denoiser_A0,A0,0.05,0.3,5,30,0.03333333333333333
joint_denoiser_A0,A0,0.05,0.3,10,30,0.06666666666666667
